file_name,source_modality,source_subject,target_modality,target_subject,split,evaluation_scope,shared_group,shared_only,candidate_count,source_checkpoint,target_checkpoint,forward_label,forward_reference_mode,forward_reference_two_way,forward_scope_reference_two_way,forward_full_reference_two_way,forward_top1,forward_top5,forward_two_way,forward_normalized_two_way,forward_normalized_two_way_full,reverse_label,reverse_reference_mode,reverse_reference_two_way,reverse_scope_reference_two_way,reverse_full_reference_two_way,reverse_top1,reverse_top5,reverse_two_way,reverse_normalized_two_way,reverse_normalized_two_way_full
eeg_sub06_to_meg_sub01_test.txt,eeg,6,meg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub06_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub01_temporalcnn_best.pt,eeg_to_meg,matched_scope,75.68,75.68,nan,1.5,9.5,65.79,0.8693181818181818,nan,meg_to_eeg,matched_scope,87.95,87.95,nan,2.0,9.5,66.81,0.7596361569073337,nan
eeg_sub06_to_meg_sub02_test.txt,eeg,6,meg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub06_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub02_temporalcnn_best.pt,eeg_to_meg,matched_scope,84.49,84.49,nan,4.0,17.0,80.21,0.9493431175287016,nan,meg_to_eeg,matched_scope,87.95,87.95,nan,5.0,15.0,79.55,0.9044911881750994,nan
eeg_sub06_to_meg_sub03_test.txt,eeg,6,meg,3,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub06_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub03_temporalcnn_best.pt,eeg_to_meg,matched_scope,81.08,81.08,nan,3.5,15.0,77.11,0.9510360138135175,nan,meg_to_eeg,matched_scope,87.95,87.95,nan,4.0,12.5,76.97,0.87515633882888,nan
eeg_sub06_to_meg_sub04_test.txt,eeg,6,meg,4,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub06_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub04_temporalcnn_best.pt,eeg_to_meg,matched_scope,67.3,67.3,nan,1.5,4.5,64.5,0.9583952451708767,nan,meg_to_eeg,matched_scope,87.95,87.95,nan,1.5,6.5,64.23,0.7303013075611143,nan
eeg_sub07_to_meg_sub01_test.txt,eeg,7,meg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub07_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub01_temporalcnn_best.pt,eeg_to_meg,matched_scope,75.68,75.68,nan,2.0,10.0,71.34,0.9426532769556025,nan,meg_to_eeg,matched_scope,86.03,86.03,nan,3.5,7.0,71.61,0.8323840520748575,nan
eeg_sub07_to_meg_sub02_test.txt,eeg,7,meg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub07_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub02_temporalcnn_best.pt,eeg_to_meg,matched_scope,84.49,84.49,nan,3.0,15.5,78.89,0.9337199668599835,nan,meg_to_eeg,matched_scope,86.03,86.03,nan,6.0,17.5,78.42,0.9115424851795885,nan
eeg_sub07_to_meg_sub03_test.txt,eeg,7,meg,3,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub07_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub03_temporalcnn_best.pt,eeg_to_meg,matched_scope,81.08,81.08,nan,3.0,12.5,78.73,0.9710162802170696,nan,meg_to_eeg,matched_scope,86.03,86.03,nan,2.5,13.5,79.7,0.9264210159246774,nan
eeg_sub07_to_meg_sub04_test.txt,eeg,7,meg,4,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub07_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub04_temporalcnn_best.pt,eeg_to_meg,matched_scope,67.3,67.3,nan,1.5,5.5,65.49,0.9731054977711738,nan,meg_to_eeg,matched_scope,86.03,86.03,nan,1.0,5.5,65.44,0.7606648843426711,nan
eeg_sub08_to_meg_sub01_test.txt,eeg,8,meg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub08_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub01_temporalcnn_best.pt,eeg_to_meg,matched_scope,75.68,75.68,nan,4.0,11.5,70.63,0.9332716701902747,nan,meg_to_eeg,matched_scope,89.51,89.51,nan,2.5,8.0,70.94,0.7925371466875208,nan
eeg_sub08_to_meg_sub02_test.txt,eeg,8,meg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub08_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub02_temporalcnn_best.pt,eeg_to_meg,matched_scope,84.49,84.49,nan,6.0,23.0,83.17,0.9843768493312819,nan,meg_to_eeg,matched_scope,89.51,89.51,nan,6.0,20.5,83.24,0.9299519606747848,nan
